loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
LN0000281,21,2019-12,2018-03,21,339,386115,377105.79,4.15,Excellent,>90,36-43,FL,Purchase,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,,2019-12-01,PRIMARY,Pending,1,1,1,0,Current,0,
LN0004511,16,2024-02,2022-10,16,344,408918,404318.65,4.98,Good,75-90,>43,OH,Purchase,PrimaryResidence,SingleFamily,ServicerA,60DPD,65,0,0,0,Medium,2024-02-01,PRIMARY,Incomplete,1,1,0,1,30DPD,0,
LN0003181,6,2023-03,2022-09,6,354,261963,259546.13,6.24,Poor,60-75,28-36,WA,Refinance,Investment,SingleFamily,ServicerA,Current,0,0,0,0,Low,2023-03-01,PRIMARY,Complete,1,1,0,0,Current,0,
LN0004564,2,2020-10,2020-08,2,358,93171,92844.77,5.75,Fair,75-90,36-43,CA,Purchase,PrimaryResidence,Condo,ServicerA,Current,0,0,0,0,Low,2020-10-01,PRIMARY,Complete,0,0,0,1,Current,0,
LN0003475,4,2021-09,2021-05,4,356,286876,285135.82,4.48,Good,60-75,28-36,AZ,Purchase,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2021-09-01,PRIMARY,Waived,1,1,0,1,30DPD,0,
LN0002014,14,2022-12,2021-10,14,346,471931,462844.34,4.28,Good,,<=28,CA,Refinance,PrimaryResidence,Condo,ServicerB,Current,0,0,0,0,Low,2022-12-01,PRIMARY,Complete,1,1,0,0,Current,0,
LN0002601,3,2019-09,2019-06,3,357,340265,339768.19,4.16,Good,>90,36-43,AZ,Refinance,PrimaryResidence,SingleFamily,ServicerC,30DPD,35,0,0,0,Low,2019-09-01,PRIMARY,Complete,1,1,1,0,Current,0,
LN0001142,16,2024-01,2022-09,16,344,398845,390447.56,5.77,Fair,<=60,28-36,IL,Refinance,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,,2024-01-01,PRIMARY,Complete,1,1,0,1,30DPD,0,
LN0003289,21,2022-02,2020-05,21,339,125679,121889.52,4.43,Excellent,60-75,28-36,IL,CashOut,SecondHome,MultiUnit,ServicerC,Current,0,0,0,0,Low,2022-02-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0000740,2,2021-01,2020-11,2,358,331853,330875.82,4.23,Good,60-75,28-36,NY,Refinance,PrimaryResidence,MultiUnit,ServicerB,Current,0,0,0,0,Low,2021-01-01,PRIMARY,Incomplete,0,0,0,0,Current,0,
LN0001580,13,2022-07,2021-06,13,347,191632,2435572.0435543233,6.24,Poor,,28-36,NV,Refinance,PrimaryResidence,Condo,ServicerC,30DPD,35,0,0,0,Low,2022-07-01,PRIMARY,Complete,1,1,1,0,30DPD,0,
LN0001644,5,2021-05,2020-12,5,355,167020,166041.06,4.19,Excellent,60-75,36-43,FL,Refinance,SecondHome,Condo,ServicerA,Current,0,0,0,0,Low,2021-05-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0000554,2,2018-03,2018-01,2,358,200266,199550.21,5.94,Poor,,<=28,NY,CashOut,PrimaryResidence,SingleFamily,ServicerC,Current,0,0,0,0,Low,2018-03-01,PRIMARY,Complete,0,1,0,1,Current,0,
LN0003713,1,2020-05,2020-04,1,359,135933,135677.12,6.43,,,>43,GA,Purchase,PrimaryResidence,Condo,ServicerB,Current,0,0,0,0,Low,2020-05-01,PRIMARY,Complete,1,1,1,0,30DPD,0,
LN0001115,10,2023-05,2022-07,10,350,426412,421517.01,5.16,Poor,,36-43,NY,Purchase,PrimaryResidence,SingleFamily,ServicerD,60DPD,65,0,0,0,Medium,2023-05-01,PRIMARY,Complete,1,1,1,0,Default,0,
LN0000515,21,2019-11,2018-02,21,339,269067,263768.73,4.47,Good,<=60,>43,GA,Refinance,PrimaryResidence,Townhouse,ServicerD,60DPD,65,0,0,0,Medium,2019-11-01,PRIMARY,Complete,1,1,1,0,90DPD,0,
LN0002788,3,2019-07,2019-04,3,357,364322,363227.37,4.4,Good,75-90,36-43,TX,Purchase,PrimaryResidence,SingleFamily,ServicerA,30DPD,35,0,0,0,Low,2019-07-01,PRIMARY,Incomplete,1,1,1,0,60DPD,0,
LN0003026,8,2022-07,2021-11,8,352,111683,110420.28,3.89,Excellent,60-75,<=28,AZ,Refinance,PrimaryResidence,MultiUnit,ServicerD,Current,0,0,0,0,Low,2022-07-01,PRIMARY,Waived,0,1,0,0,Current,0,
LN0002576,12,2023-11,2022-11,12,348,213167,208742.14,5.64,Fair,>90,28-36,AZ,CashOut,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2023-11-01,PRIMARY,Pending,1,1,1,0,30DPD,0,
LN0004095,13,2019-06,2018-05,13,347,419802,412153.51,4.49,Excellent,60-75,<=28,NY,Purchase,PrimaryResidence,MultiUnit,ServicerB,Current,0,0,0,0,Low,2019-06-01,PRIMARY,Waived,0,0,0,0,Current,0,
LN0003926,21,2023-11,2022-02,21,339,116419,113231.77,4.05,Good,60-75,28-36,OH,CashOut,PrimaryResidence,SingleFamily,ServicerC,Current,0,0,0,0,Low,2023-11-01,PRIMARY,Pending,0,0,0,0,Current,0,
LN0001291,15,2020-06,2019-03,15,345,97095,95482.9,5.27,Good,75-90,36-43,AZ,Purchase,PrimaryResidence,SingleFamily,ServicerC,60DPD,65,0,0,0,Medium,2020-06-01,PRIMARY,Complete,1,1,0,0,90DPD,0,
LN0003300,1,2020-12,2020-11,1,359,92348,92214.77,4.06,Excellent,60-75,36-43,WA,Purchase,PrimaryResidence,SingleFamily,ServicerD,Current,0,0,0,0,Low,2020-12-01,PRIMARY,Complete,0,1,0,1,Current,0,
LN0003608,5,2023-01,2022-08,5,355,224950,223427.27,3.54,Excellent,75-90,>43,GA,Purchase,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,Low,2023-01-01,PRIMARY,Incomplete,0,1,0,0,Current,0,
LN0002210,6,2022-08,2022-02,6,354,86710,85880.7,4.91,Excellent,75-90,<=28,NV,Refinance,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2022-08-01,PRIMARY,Pending,1,1,0,1,30DPD,0,
LN0001698,16,2020-10,2019-06,16,344,172713,168464.45,5.16,Fair,<=60,28-36,OH,Purchase,PrimaryResidence,MultiUnit,ServicerD,Current,0,0,0,0,Low,2020-10-01,PRIMARY,Pending,1,1,0,0,30DPD,0,
LN0001346,17,2023-11,2022-06,17,343,251328,245448.73,4.72,Fair,75-90,28-36,OH,CashOut,SecondHome,SingleFamily,ServicerD,Current,0,0,0,0,Low,2023-11-01,PRIMARY,Incomplete,1,1,1,0,Current,0,
LN0001501,13,2022-02,2021-01,13,347,289290,284783.68,4.71,Fair,>90,28-36,CA,Purchase,PrimaryResidence,Townhouse,ServicerB,60DPD,65,0,0,0,Medium,2022-02-01,PRIMARY,Incomplete,0,1,0,0,Current,0,
LN0002612,14,2022-01,2020-11,14,346,165466,161986.0,5.04,Fair,75-90,<=28,WA,CashOut,PrimaryResidence,Condo,ServicerA,Current,0,0,0,0,,2022-01-01,PRIMARY,Incomplete,0,1,0,0,Current,0,
LN0002200,12,2021-01,2020-01,12,348,514448,507084.6,4.89,Fair,75-90,36-43,IL,Purchase,PrimaryResidence,Townhouse,ServicerB,Current,0,0,0,0,Low,2021-01-01,PRIMARY,Complete,1,1,1,0,Current,0,
LN0004617,14,2020-03,2019-01,14,346,91900,90563.02,4.13,Excellent,<=60,28-36,TX,CashOut,PrimaryResidence,MultiUnit,ServicerA,Current,0,0,0,0,Low,2020-03-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0001611,9,2020-07,2019-10,9,351,323520,0.0,4.25,Good,75-90,<=28,CA,Purchase,PrimaryResidence,SingleFamily,ServicerA,Prepaid,0,0,1,0,Low,2020-07-01,PRIMARY,Complete,0,0,0,0,Prepaid,0,
LN0004604,19,2021-09,2020-02,19,341,93312,90937.61,4.89,Fair,60-75,>43,CA,Purchase,PrimaryResidence,Condo,ServicerD,30DPD,35,0,0,0,Low,2021-09-01,PRIMARY,Complete,1,1,1,0,60DPD,0,
LN0003543,16,2023-05,2022-01,16,344,222720,217923.51,5.25,Poor,60-75,<=28,GA,Refinance,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,Low,2023-05-01,PRIMARY,Complete,0,0,0,1,Current,0,
LN0000655,3,2018-10,2018-07,3,357,220717,2504159.8941632425,5.65,Poor,60-75,28-36,NY,Refinance,PrimaryResidence,SingleFamily,ServicerC,Current,0,0,0,0,Low,2018-10-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0002481,3,2019-01,2018-10,3,357,139774,139368.28,4.11,Good,60-75,>43,IL,Purchase,PrimaryResidence,SingleFamily,ServicerD,30DPD,35,0,0,0,Low,2019-01-01,PRIMARY,Complete,1,1,0,0,30DPD,0,
LN0000900,21,2024-06,2022-09,21,339,103809,0.0,4.04,,,<=28,GA,Purchase,PrimaryResidence,SingleFamily,ServicerD,Prepaid,0,0,1,0,Low,2024-06-01,PRIMARY,Complete,0,0,0,0,Prepaid,0,
LN0001838,21,2020-09,2018-12,21,339,339259,332241.06,4.26,Good,75-90,>43,AZ,Refinance,PrimaryResidence,Condo,ServicerC,30DPD,35,0,0,0,Low,2020-09-01,PRIMARY,Incomplete,0,1,0,0,Current,0,
LN0004743,8,2022-08,2021-12,8,352,198948,197765.15,4.31,Fair,75-90,36-43,NY,Refinance,PrimaryResidence,SingleFamily,ServicerD,30DPD,35,0,0,0,,2022-08-01,PRIMARY,Pending,1,1,0,0,60DPD,0,
LN0002516,10,2019-08,2018-10,10,350,222905,219049.16,5.64,Fair,60-75,36-43,AZ,CashOut,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2019-08-01,PRIMARY,Complete,0,0,0,1,Current,0,
LN0003923,17,2021-01,2019-08,17,343,101150,99122.98,4.62,Good,<=60,28-36,WA,Refinance,PrimaryResidence,SingleFamily,ServicerA,30DPD,35,0,0,0,Low,2021-01-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0000505,11,2019-09,2018-10,11,349,382039,379053.11,4.74,Good,>90,36-43,TX,Refinance,Investment,SingleFamily,ServicerA,Current,0,0,0,0,Low,2019-09-01,PRIMARY,Complete,1,1,1,0,30DPD,0,
LN0000040,2,2020-08,2020-06,2,358,158824,158302.49,5.17,,75-90,28-36,AZ,Refinance,Investment,Townhouse,ServicerC,Current,0,0,0,0,Low,2020-08-01,PRIMARY,Complete,1,1,0,0,Current,0,
LN0004953,16,2022-12,2021-08,16,344,302154,295142.92,4.65,Excellent,75-90,28-36,OH,Purchase,PrimaryResidence,Townhouse,ServicerC,Current,0,0,0,0,Low,2022-12-01,PRIMARY,Incomplete,0,0,0,0,Current,0,
LN0003391,3,2021-03,2020-12,3,357,164818,164081.31,4.33,Excellent,75-90,36-43,IL,Refinance,SecondHome,Townhouse,ServicerD,Current,0,0,0,0,Low,2021-03-01,PRIMARY,Complete,0,0,0,1,Current,0,
LN0002351,4,2020-03,2019-11,4,356,96739,96201.38,3.75,Excellent,<=60,>43,OH,Purchase,SecondHome,SingleFamily,ServicerD,Current,0,0,0,0,Low,2020-03-01,PRIMARY,Complete,1,1,0,1,Current,0,
LN0003247,2,2020-11,2020-09,2,358,193523,192972.0,3.95,Good,<=60,>43,NY,Refinance,PrimaryResidence,MultiUnit,ServicerA,Current,0,0,0,0,Low,2020-11-01,PRIMARY,Complete,1,1,0,0,Current,0,
LN0003296,14,2020-10,2019-08,14,346,177312,173908.49,5.72,Poor,60-75,28-36,WA,Purchase,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,Low,2020-10-01,PRIMARY,Complete,0,0,0,1,Current,0,
LN0003612,25,2020-03,2018-02,25,335,149618,145802.59,3.91,Good,75-90,28-36,GA,Purchase,SecondHome,SingleFamily,ServicerD,Default,120,0,0,1,High,2020-03-01,PRIMARY,Complete,0,0,0,0,Default,0,
LN0001524,25,2021-08,2019-07,25,335,193225,185587.88,5.58,Fair,60-75,<=28,AZ,Purchase,PrimaryResidence,Condo,ServicerB,Current,0,0,0,0,Low,2021-08-01,PRIMARY,Pending,0,1,0,0,Current,0,
LN0004863,2,2020-09,2020-07,2,358,140798,140359.35,4.71,Good,<=60,28-36,NY,Purchase,Investment,SingleFamily,ServicerB,Current,0,0,0,0,Low,2020-09-01,PRIMARY,Complete,0,1,0,0,Current,0,
LN0003887,3,2020-09,2020-06,3,357,670968,669718.13,6.33,Poor,<=60,>43,AZ,CashOut,PrimaryResidence,Condo,ServicerC,60DPD,65,0,0,0,Medium,2020-09-01,PRIMARY,Complete,1,1,0,0,60DPD,0,
LN0000683,9,2021-02,2020-05,9,351,263088,259874.43,3.56,Excellent,<=60,36-43,NY,CashOut,PrimaryResidence,Townhouse,ServicerD,Current,0,0,0,0,,2021-02-01,PRIMARY,Waived,1,1,0,0,30DPD,0,
LN0003896,4,2022-09,2022-05,4,356,156655,155863.3,5.4,Fair,<=60,36-43,GA,Purchase,PrimaryResidence,SingleFamily,ServicerD,30DPD,35,0,0,0,Low,2022-09-01,PRIMARY,Waived,1,1,0,0,Current,0,
LN0000750,14,2020-06,2019-04,14,346,199635,0.0,4.67,Fair,>90,<=28,OH,Refinance,PrimaryResidence,SingleFamily,ServicerD,Prepaid,0,0,1,0,Low,2020-06-01,PRIMARY,,0,0,0,0,Prepaid,0,
LN0002823,11,2023-02,2022-03,11,349,228325,224622.78,4.24,Excellent,60-75,<=28,IL,Purchase,PrimaryResidence,SingleFamily,ServicerD,Current,0,0,0,0,Low,2023-02-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0001302,4,2018-09,2018-05,4,356,246032,244988.86,3.89,Good,60-75,>43,CA,CashOut,SecondHome,Townhouse,ServicerC,Current,0,0,0,0,Low,2018-09-01,PRIMARY,Pending,1,1,1,0,30DPD,0,
LN0002103,11,2019-10,2018-11,11,349,396142,389645.56,5.16,Fair,75-90,28-36,OH,Refinance,PrimaryResidence,Condo,ServicerB,Current,0,0,0,0,Low,2019-10-01,PRIMARY,Complete,1,1,1,0,Current,0,
LN0004316,6,2022-08,2022-02,6,354,300772,299236.72,5.49,Fair,>90,<=28,NV,CashOut,PrimaryResidence,SingleFamily,ServicerD,60DPD,65,0,0,0,Medium,2022-08-01,PRIMARY,Complete,1,1,0,0,90DPD,0,
LN0004172,16,2023-04,2021-12,16,344,188263,185299.75,4.8,Fair,75-90,28-36,CA,Purchase,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2023-04-01,PRIMARY,Pending,1,1,0,1,30DPD,0,
LN0000804,14,2019-12,2018-10,14,346,98276,96578.77,4.04,Good,75-90,<=28,IL,CashOut,PrimaryResidence,Townhouse,ServicerB,Current,0,0,0,0,Low,2019-12-01,PRIMARY,Pending,1,1,0,0,Current,0,
LN0001855,22,2020-06,2018-08,22,338,88535,85441.75,5.73,Fair,,<=28,OH,Purchase,PrimaryResidence,Condo,ServicerB,Current,0,0,0,0,Low,2020-06-01,PRIMARY,Complete,1,1,0,1,30DPD,0,
LN0000178,7,2019-10,2019-03,7,353,243910,240972.73,5.59,Poor,<=60,36-43,CA,Purchase,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2019-10-01,PRIMARY,Complete,0,1,1,0,Current,0,
LN0003103,3,2018-06,2018-03,3,357,231204,230061.39,5.2,Poor,75-90,28-36,FL,Refinance,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2018-06-01,PRIMARY,Complete,1,1,0,0,30DPD,0,
