month_index,scenario,default_hazard_multiplier,prepay_propensity_mult,rate_shift_pp,hpi_shock_pct,unemployment_shock
20,adverse_credit,2.0,0.8,0.5,-0.1,0.02
20,high_prepayment,0.8,2.5,-0.75,0.05,0.0
21,base,1.0,1.0,0.0,0.0,0.0
21,adverse_credit,2.0,0.8,0.5,-0.1,0.02
21,high_prepayment,0.8,2.5,-0.75,0.05,0.0
22,base,1.0,1.0,0.0,0.0,0.0
22,adverse_credit,2.0,0.8,0.5,-0.1,0.02
22,high_prepayment,0.8,2.5,-0.75,0.05,0.0
23,base,1.0,1.0,0.0,0.0,0.0
23,adverse_credit,2.0,0.8,0.5,-0.1,0.02
23,high_prepayment,0.8,2.5,-0.75,0.05,0.0
24,base,1.0,1.0,0.0,0.0,0.0
24,adverse_credit,2.0,0.8,0.5,-0.1,0.02
24,high_prepayment,0.8,2.5,-0.75,0.05,0.0
25,base,1.0,1.0,0.0,0.0,0.0
25,adverse_credit,2.0,0.8,0.5,-0.1,0.02
25,high_prepayment,0.8,2.5,-0.75,0.05,0.0
26,base,1.0,1.0,0.0,0.0,0.0
26,adverse_credit,2.0,0.8,0.5,-0.1,0.02
26,high_prepayment,0.8,2.5,-0.75,0.05,0.0
27,base,1.0,1.0,0.0,0.0,0.0
27,adverse_credit,2.0,0.8,0.5,-0.1,0.02
27,high_prepayment,0.8,2.5,-0.75,0.05,0.0
28,base,1.0,1.0,0.0,0.0,0.0
28,adverse_credit,2.0,0.8,0.5,-0.1,0.02
28,high_prepayment,0.8,2.5,-0.75,0.05,0.0
29,base,1.0,1.0,0.0,0.0,0.0
29,adverse_credit,2.0,0.8,0.5,-0.1,0.02
29,high_prepayment,0.8,2.5,-0.75,0.05,0.0
30,base,1.0,1.0,0.0,0.0,0.0
30,adverse_credit,2.0,0.8,0.5,-0.1,0.02
30,high_prepayment,0.8,2.5,-0.75,0.05,0.0
31,base,1.0,1.0,0.0,0.0,0.0
31,adverse_credit,2.0,0.8,0.5,-0.1,0.02
31,high_prepayment,0.8,2.5,-0.75,0.05,0.0
32,base,1.0,1.0,0.0,0.0,0.0
32,adverse_credit,2.0,0.8,0.5,-0.1,0.02
32,high_prepayment,0.8,2.5,-0.75,0.05,0.0
33,base,1.0,1.0,0.0,0.0,0.0
33,adverse_credit,2.0,0.8,0.5,-0.1,0.02
33,high_prepayment,0.8,2.5,-0.75,0.05,0.0
34,base,1.0,1.0,0.0,0.0,0.0
34,adverse_credit,2.0,0.8,0.5,-0.1,0.02
34,high_prepayment,0.8,2.5,-0.75,0.05,0.0
35,base,1.0,1.0,0.0,0.0,0.0
35,adverse_credit,2.0,0.8,0.5,-0.1,0.02
35,high_prepayment,0.8,2.5,-0.75,0.05,0.0
36,base,1.0,1.0,0.0,0.0,0.0
36,adverse_credit,2.0,0.8,0.5,-0.1,0.02
36,high_prepayment,0.8,2.5,-0.75,0.05,0.0
37,base,1.0,1.0,0.0,0.0,0.0
37,adverse_credit,2.0,0.8,0.5,-0.1,0.02
37,high_prepayment,0.8,2.5,-0.75,0.05,0.0
38,base,1.0,1.0,0.0,0.0,0.0
38,adverse_credit,2.0,0.8,0.5,-0.1,0.02
38,high_prepayment,0.8,2.5,-0.75,0.05,0.0
39,base,1.0,1.0,0.0,0.0,0.0
39,adverse_credit,2.0,0.8,0.5,-0.1,0.02
39,high_prepayment,0.8,2.5,-0.75,0.05,0.0
40,base,1.0,1.0,0.0,0.0,0.0
40,adverse_credit,2.0,0.8,0.5,-0.1,0.02
40,high_prepayment,0.8,2.5,-0.75,0.05,0.0
41,base,1.0,1.0,0.0,0.0,0.0
41,adverse_credit,2.0,0.8,0.5,-0.1,0.02
41,high_prepayment,0.8,2.5,-0.75,0.05,0.0
42,base,1.0,1.0,0.0,0.0,0.0
42,adverse_credit,2.0,0.8,0.5,-0.1,0.02
42,high_prepayment,0.8,2.5,-0.75,0.05,0.0
