loan_id,original_balance,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,vintage
LN0000075,82870,Excellent,>90,<=28,IL,Refinance,PrimaryResidence,SingleFamily,2018
LN0000076,390315,Good,60-75,36-43,NY,Refinance,Investment,MultiUnit,2021
LN0000077,200376,Good,60-75,28-36,NY,Purchase,PrimaryResidence,SingleFamily,2019
LN0000078,114728,Fair,<=60,<=28,WA,Refinance,SecondHome,Condo,2019
LN0000079,58113,Good,60-75,36-43,NV,Purchase,PrimaryResidence,Townhouse,2019
LN0000080,332557,Fair,75-90,36-43,AZ,Purchase,PrimaryResidence,Condo,2022
LN0000081,262772,Fair,<=60,28-36,GA,Purchase,SecondHome,SingleFamily,2019
LN0000082,220872,Good,75-90,<=28,OH,CashOut,PrimaryResidence,Condo,2019
LN0000083,306148,Fair,60-75,<=28,IL,Refinance,Investment,MultiUnit,2019
LN0000084,305727,Excellent,<=60,>43,WA,Refinance,PrimaryResidence,Condo,2018
LN0000085,219085,Excellent,>90,36-43,IL,Refinance,PrimaryResidence,SingleFamily,2018
LN0000086,175061,Excellent,60-75,36-43,AZ,Purchase,PrimaryResidence,SingleFamily,2020
LN0000087,161365,Fair,75-90,36-43,NV,Purchase,PrimaryResidence,SingleFamily,2018
LN0000088,245357,Good,60-75,36-43,IL,Refinance,PrimaryResidence,SingleFamily,2021
LN0000089,399718,Excellent,>90,<=28,OH,CashOut,PrimaryResidence,Condo,2020
LN0000090,188819,Good,60-75,28-36,CA,Refinance,PrimaryResidence,SingleFamily,2020
LN0000091,415916,Excellent,60-75,36-43,IL,Purchase,PrimaryResidence,Condo,2019
LN0000092,239564,Fair,75-90,<=28,AZ,CashOut,PrimaryResidence,Condo,2021
LN0000093,240468,Good,60-75,<=28,GA,Purchase,PrimaryResidence,SingleFamily,2020
LN0000094,661691,Good,60-75,36-43,WA,Purchase,PrimaryResidence,SingleFamily,2018
LN0000095,454220,Good,>90,>43,FL,Purchase,SecondHome,SingleFamily,2020
LN0000096,460148,Fair,75-90,36-43,AZ,Purchase,PrimaryResidence,SingleFamily,2018
LN0000097,133411,Good,75-90,<=28,NV,Refinance,PrimaryResidence,Townhouse,2020
LN0000098,594865,Excellent,75-90,>43,NY,Refinance,PrimaryResidence,SingleFamily,2020
LN0000099,190782,Excellent,75-90,<=28,AZ,Purchase,PrimaryResidence,SingleFamily,2020
LN0000100,177416,Poor,>90,<=28,WA,Purchase,PrimaryResidence,SingleFamily,2019
LN0000101,67533,Poor,75-90,>43,NY,Refinance,PrimaryResidence,Condo,2020
LN0000102,234016,Fair,60-75,36-43,NY,Purchase,SecondHome,Condo,2021
LN0000103,115649,Good,<=60,>43,WA,Purchase,Investment,Townhouse,2022
LN0000104,243805,Poor,75-90,36-43,IL,Purchase,PrimaryResidence,SingleFamily,2022
LN0000105,111214,Fair,75-90,36-43,GA,CashOut,PrimaryResidence,SingleFamily,2018
LN0000106,488380,Fair,60-75,28-36,TX,CashOut,PrimaryResidence,Condo,2021
LN0000107,261918,Good,<=60,28-36,IL,Purchase,PrimaryResidence,SingleFamily,2018
LN0000108,621527,Good,60-75,>43,OH,Refinance,PrimaryResidence,SingleFamily,2020
LN0000109,119191,Excellent,60-75,>43,AZ,CashOut,PrimaryResidence,Townhouse,2021
LN0000110,431313,Poor,75-90,28-36,FL,Purchase,PrimaryResidence,SingleFamily,2020
LN0000111,80712,Good,<=60,28-36,GA,CashOut,Investment,SingleFamily,2022
LN0000112,220584,Excellent,75-90,28-36,NY,Purchase,PrimaryResidence,Townhouse,2022
LN0000113,144956,Good,75-90,28-36,OH,Refinance,PrimaryResidence,SingleFamily,2022
LN0000114,158898,Good,>90,>43,NY,Refinance,PrimaryResidence,SingleFamily,2021
LN0000115,153545,Excellent,<=60,<=28,GA,Purchase,Investment,SingleFamily,2021
LN0000116,125824,Poor,>90,28-36,IL,Refinance,PrimaryResidence,SingleFamily,2022
LN0000117,105889,Fair,75-90,>43,FL,Refinance,Investment,SingleFamily,2019
LN0000118,159338,Fair,75-90,28-36,WA,Purchase,Investment,MultiUnit,2019
LN0000119,210662,Good,<=60,28-36,GA,Refinance,PrimaryResidence,Townhouse,2019
LN0000120,355701,Fair,60-75,28-36,GA,CashOut,PrimaryResidence,Condo,2021
LN0000121,230423,Good,75-90,<=28,OH,CashOut,PrimaryResidence,Townhouse,2019
LN0000122,356207,Fair,60-75,<=28,GA,Refinance,PrimaryResidence,SingleFamily,2018
LN0000123,94931,Excellent,60-75,<=28,AZ,Purchase,PrimaryResidence,SingleFamily,2021
LN0000124,160093,Good,75-90,<=28,IL,Purchase,SecondHome,SingleFamily,2021
LN0000125,283651,Excellent,75-90,<=28,WA,Purchase,Investment,SingleFamily,2020
LN0000126,236001,Good,<=60,28-36,IL,Refinance,PrimaryResidence,SingleFamily,2022
LN0000127,129238,Good,60-75,<=28,WA,Refinance,PrimaryResidence,SingleFamily,2021
LN0000128,317119,Excellent,60-75,>43,TX,CashOut,PrimaryResidence,Townhouse,2022
LN0000129,152415,Excellent,>90,<=28,AZ,Purchase,PrimaryResidence,SingleFamily,2019
LN0000130,134769,Good,>90,28-36,WA,CashOut,PrimaryResidence,Condo,2018
LN0000131,253589,Excellent,60-75,>43,WA,CashOut,Investment,SingleFamily,2019
LN0000132,199403,Poor,<=60,<=28,AZ,Refinance,PrimaryResidence,SingleFamily,2022
LN0000133,153053,Good,60-75,28-36,IL,CashOut,PrimaryResidence,Condo,2022
LN0000134,150477,Good,60-75,36-43,IL,Purchase,PrimaryResidence,SingleFamily,2018
LN0000135,116436,Good,>90,28-36,WA,Purchase,PrimaryResidence,SingleFamily,2022
LN0000136,163101,Excellent,60-75,<=28,NV,Purchase,Investment,SingleFamily,2020
LN0000137,344553,Poor,<=60,36-43,FL,Purchase,Investment,Condo,2022
LN0000138,224644,Good,<=60,36-43,TX,Purchase,PrimaryResidence,SingleFamily,2021
LN0000139,321032,Fair,60-75,28-36,TX,Refinance,PrimaryResidence,SingleFamily,2018
LN0000140,257309,Excellent,75-90,<=28,OH,Purchase,SecondHome,SingleFamily,2020
LN0000141,146367,Good,75-90,<=28,CA,Purchase,PrimaryResidence,SingleFamily,2018
LN0000142,87153,Good,75-90,36-43,OH,Purchase,PrimaryResidence,MultiUnit,2019
LN0000143,125062,Poor,60-75,28-36,AZ,Refinance,Investment,SingleFamily,2021
LN0000144,142113,Good,>90,<=28,GA,CashOut,PrimaryResidence,SingleFamily,2021
LN0000145,136722,Good,60-75,28-36,TX,Purchase,PrimaryResidence,Condo,2021
LN0000146,324652,Good,75-90,>43,GA,Refinance,PrimaryResidence,MultiUnit,2021
LN0000147,322963,Good,>90,<=28,IL,CashOut,PrimaryResidence,SingleFamily,2018
LN0000148,600753,Good,60-75,<=28,CA,Refinance,SecondHome,SingleFamily,2020
LN0000149,135691,Good,>90,28-36,TX,Refinance,PrimaryResidence,Condo,2020
LN0000150,441849,Excellent,60-75,36-43,OH,Refinance,PrimaryResidence,SingleFamily,2020
LN0000151,440485,Fair,75-90,28-36,WA,CashOut,PrimaryResidence,SingleFamily,2019
LN0000152,176993,Poor,<=60,>43,IL,Purchase,SecondHome,MultiUnit,2021
LN0000153,251897,Excellent,60-75,<=28,OH,Refinance,PrimaryResidence,SingleFamily,2021
LN0000154,369670,Good,60-75,28-36,WA,Purchase,PrimaryResidence,SingleFamily,2020
LN0000155,193017,Excellent,<=60,28-36,NV,Purchase,PrimaryResidence,SingleFamily,2018
LN0000156,185684,Fair,<=60,28-36,CA,Refinance,PrimaryResidence,SingleFamily,2018
LN0000157,145267,Good,60-75,28-36,FL,Refinance,PrimaryResidence,SingleFamily,2019
LN0000158,61082,Fair,75-90,36-43,TX,CashOut,PrimaryResidence,SingleFamily,2020
LN0000159,205918,Fair,60-75,28-36,IL,CashOut,PrimaryResidence,SingleFamily,2022
LN0000160,139394,Fair,60-75,36-43,NV,Refinance,PrimaryResidence,SingleFamily,2021
LN0000161,116113,Excellent,>90,<=28,IL,Refinance,PrimaryResidence,SingleFamily,2020
LN0000162,245510,Poor,>90,28-36,NY,CashOut,PrimaryResidence,SingleFamily,2019
LN0000163,96215,Excellent,<=60,28-36,CA,Purchase,Investment,Condo,2018
LN0000164,297461,Excellent,60-75,28-36,NY,Purchase,PrimaryResidence,Condo,2018
LN0000165,253165,Good,75-90,<=28,FL,Purchase,PrimaryResidence,SingleFamily,2018
LN0000166,162739,Good,75-90,>43,TX,Refinance,PrimaryResidence,SingleFamily,2022
LN0000167,192595,Fair,60-75,>43,TX,Refinance,PrimaryResidence,SingleFamily,2018
LN0000168,109632,Fair,75-90,36-43,GA,Refinance,PrimaryResidence,Townhouse,2022
LN0000169,289285,Good,<=60,>43,OH,Purchase,PrimaryResidence,SingleFamily,2020
LN0000170,218312,Poor,60-75,<=28,OH,Refinance,PrimaryResidence,SingleFamily,2021
LN0000171,226596,Good,75-90,28-36,CA,Refinance,PrimaryResidence,Condo,2022
LN0000172,255491,Good,75-90,28-36,NV,CashOut,PrimaryResidence,Condo,2021
LN0000173,144176,Good,75-90,>43,WA,Purchase,PrimaryResidence,Townhouse,2018
LN0000174,93010,Poor,<=60,<=28,WA,Refinance,PrimaryResidence,SingleFamily,2022
LN0000175,320827,Excellent,<=60,<=28,AZ,Refinance,Investment,Townhouse,2018
LN0000176,280508,Excellent,<=60,36-43,FL,Refinance,PrimaryResidence,SingleFamily,2020
LN0000177,152104,Good,<=60,<=28,WA,Purchase,PrimaryResidence,MultiUnit,2021
LN0000178,243910,Poor,<=60,36-43,CA,Purchase,PrimaryResidence,SingleFamily,2019
LN0000179,372870,Poor,60-75,28-36,IL,Purchase,SecondHome,Townhouse,2021
LN0000180,351284,Fair,60-75,36-43,FL,Purchase,PrimaryResidence,MultiUnit,2021
LN0000181,149899,Poor,75-90,>43,TX,Refinance,Investment,Condo,2022
LN0000182,94430,Poor,60-75,36-43,GA,Refinance,PrimaryResidence,Condo,2022
LN0000183,102887,Good,<=60,<=28,TX,Refinance,PrimaryResidence,SingleFamily,2019
LN0000184,170099,Good,75-90,<=28,NV,Purchase,PrimaryResidence,SingleFamily,2021
LN0000185,412981,Fair,<=60,<=28,FL,Purchase,PrimaryResidence,SingleFamily,2022
LN0000186,138106,Fair,>90,<=28,CA,Refinance,PrimaryResidence,Condo,2018
LN0000187,147537,Good,<=60,28-36,IL,Refinance,Investment,SingleFamily,2021
LN0000188,146026,Excellent,60-75,28-36,NY,Refinance,SecondHome,SingleFamily,2022
LN0000189,152380,Fair,>90,<=28,GA,Refinance,PrimaryResidence,SingleFamily,2018
LN0000190,197676,Good,75-90,<=28,GA,CashOut,PrimaryResidence,Condo,2021
LN0000191,104817,Poor,75-90,>43,WA,CashOut,PrimaryResidence,SingleFamily,2018
LN0000192,341868,Excellent,75-90,<=28,WA,Refinance,SecondHome,SingleFamily,2020
LN0000193,184903,Excellent,<=60,28-36,OH,Purchase,PrimaryResidence,SingleFamily,2022
LN0000194,686641,Fair,75-90,28-36,GA,Purchase,PrimaryResidence,SingleFamily,2022
LN0000195,110549,Excellent,>90,<=28,TX,Refinance,PrimaryResidence,SingleFamily,2021
LN0000196,440177,Excellent,>90,>43,IL,Purchase,Investment,SingleFamily,2021
LN0000197,398583,Good,60-75,<=28,GA,Purchase,PrimaryResidence,Condo,2019
LN0000198,161806,Poor,60-75,36-43,FL,Purchase,PrimaryResidence,SingleFamily,2022
LN0000199,163157,Excellent,75-90,36-43,AZ,CashOut,Investment,Townhouse,2021
LN0000200,125410,Good,60-75,36-43,IL,Purchase,PrimaryResidence,SingleFamily,2022
LN0000201,126132,Fair,60-75,36-43,NY,Refinance,PrimaryResidence,SingleFamily,2021
LN0000202,198728,Poor,<=60,36-43,NY,CashOut,SecondHome,Townhouse,2018
LN0000203,200856,Good,<=60,28-36,GA,Refinance,PrimaryResidence,MultiUnit,2020
LN0000204,89216,Excellent,60-75,28-36,OH,Purchase,PrimaryResidence,SingleFamily,2021
LN0000205,625779,Excellent,<=60,36-43,FL,Refinance,PrimaryResidence,SingleFamily,2021
LN0000206,174598,Excellent,<=60,28-36,TX,Refinance,PrimaryResidence,SingleFamily,2019
LN0000207,205418,Excellent,<=60,28-36,CA,Purchase,PrimaryResidence,SingleFamily,2018
LN0000208,145347,Fair,>90,<=28,IL,Refinance,PrimaryResidence,SingleFamily,2022
LN0000209,173945,Excellent,<=60,28-36,NV,Purchase,PrimaryResidence,SingleFamily,2022
LN0000210,166218,Good,<=60,28-36,NV,Refinance,SecondHome,SingleFamily,2022
LN0000211,198498,Fair,60-75,<=28,WA,CashOut,PrimaryResidence,SingleFamily,2021
LN0000212,197344,Good,60-75,28-36,WA,Refinance,PrimaryResidence,MultiUnit,2022
LN0000213,297281,Excellent,>90,<=28,WA,CashOut,PrimaryResidence,SingleFamily,2020
LN0000214,222706,Fair,>90,28-36,FL,Purchase,SecondHome,Townhouse,2021
LN0000215,282699,Fair,60-75,36-43,IL,CashOut,PrimaryResidence,SingleFamily,2020
LN0000216,197816,Fair,60-75,28-36,NV,Refinance,Investment,Townhouse,2021
LN0000217,223155,Excellent,60-75,36-43,GA,Purchase,SecondHome,Condo,2018
LN0000218,176195,Excellent,<=60,<=28,FL,CashOut,SecondHome,SingleFamily,2019
LN0000219,328258,Poor,60-75,<=28,CA,CashOut,SecondHome,SingleFamily,2019
LN0000220,233587,Good,<=60,36-43,OH,Purchase,PrimaryResidence,SingleFamily,2020
LN0000221,183682,Good,<=60,36-43,NV,Refinance,Investment,Condo,2022
LN0000222,180962,Good,75-90,36-43,TX,Purchase,PrimaryResidence,SingleFamily,2018
LN0000223,188222,Fair,<=60,36-43,NY,Purchase,PrimaryResidence,Condo,2021
LN0000224,201838,Poor,<=60,36-43,AZ,Purchase,PrimaryResidence,MultiUnit,2022
LN0000225,193265,Good,60-75,36-43,FL,Purchase,SecondHome,SingleFamily,2021
LN0000226,150328,Poor,60-75,36-43,TX,Purchase,PrimaryResidence,Condo,2021
LN0000227,291399,Excellent,<=60,36-43,NY,Purchase,SecondHome,MultiUnit,2018
LN0000228,300751,Good,<=60,<=28,NY,CashOut,Investment,Condo,2021
LN0000229,485011,Fair,<=60,<=28,IL,Purchase,PrimaryResidence,SingleFamily,2019
LN0000230,146999,Excellent,60-75,28-36,NV,Refinance,PrimaryResidence,SingleFamily,2019
LN0000231,277400,Excellent,75-90,28-36,NV,Purchase,PrimaryResidence,SingleFamily,2022
LN0000232,76529,Good,>90,36-43,WA,Purchase,PrimaryResidence,SingleFamily,2021
LN0000233,300896,Poor,60-75,28-36,CA,Refinance,PrimaryResidence,SingleFamily,2022
LN0000234,95962,Good,60-75,28-36,FL,Purchase,PrimaryResidence,Townhouse,2020
LN0000235,121520,Poor,75-90,36-43,TX,Purchase,PrimaryResidence,SingleFamily,2019
LN0000236,234711,Fair,75-90,<=28,CA,CashOut,PrimaryResidence,SingleFamily,2022
LN0000237,145692,Good,<=60,36-43,NY,Purchase,PrimaryResidence,SingleFamily,2021
LN0000238,136056,Fair,<=60,<=28,CA,Purchase,PrimaryResidence,Townhouse,2022
LN0000239,155996,Excellent,60-75,28-36,WA,Refinance,PrimaryResidence,SingleFamily,2018
LN0000240,286305,Excellent,75-90,28-36,FL,Purchase,SecondHome,SingleFamily,2020
LN0000241,124686,Fair,<=60,28-36,OH,Refinance,PrimaryResidence,SingleFamily,2022
LN0000242,193478,Fair,60-75,<=28,WA,Purchase,PrimaryResidence,SingleFamily,2022
LN0000243,164500,Excellent,60-75,<=28,NV,Purchase,PrimaryResidence,SingleFamily,2021
LN0000244,299522,Good,60-75,28-36,IL,Purchase,PrimaryResidence,SingleFamily,2018
LN0000245,303750,Fair,60-75,28-36,TX,Purchase,SecondHome,SingleFamily,2020
LN0000246,79408,Poor,75-90,36-43,NV,Refinance,PrimaryResidence,SingleFamily,2018
LN0000247,335224,Fair,60-75,<=28,NY,CashOut,PrimaryResidence,SingleFamily,2022
LN0000248,146476,Good,60-75,28-36,OH,Refinance,PrimaryResidence,Condo,2021
LN0000249,223719,Good,<=60,<=28,OH,Purchase,Investment,SingleFamily,2018
LN0000250,124311,Good,75-90,>43,NV,CashOut,PrimaryResidence,Townhouse,2021
LN0000251,239322,Fair,60-75,36-43,GA,Refinance,PrimaryResidence,SingleFamily,2021
LN0000252,711887,Poor,<=60,>43,WA,Purchase,PrimaryResidence,SingleFamily,2018
LN0000253,211839,Good,60-75,>43,NY,Purchase,PrimaryResidence,Condo,2018
LN0000254,157956,Excellent,75-90,28-36,IL,Purchase,Investment,SingleFamily,2019
LN0000255,177002,Excellent,75-90,36-43,OH,Purchase,PrimaryResidence,SingleFamily,2018
LN0000256,95366,Fair,>90,28-36,WA,Purchase,PrimaryResidence,SingleFamily,2020
LN0000257,410233,Fair,75-90,>43,CA,Purchase,PrimaryResidence,Townhouse,2022
LN0000258,232452,Excellent,60-75,28-36,NY,CashOut,Investment,SingleFamily,2018
LN0000259,117659,Excellent,60-75,28-36,NV,Purchase,PrimaryResidence,SingleFamily,2021
LN0000260,119591,Good,<=60,>43,FL,Purchase,Investment,SingleFamily,2020
LN0000261,200313,Excellent,75-90,36-43,IL,CashOut,PrimaryResidence,SingleFamily,2022
LN0000262,316791,Fair,75-90,>43,AZ,Refinance,SecondHome,SingleFamily,2020
LN0000263,111804,Good,<=60,<=28,FL,Purchase,Investment,MultiUnit,2021
LN0000264,346869,Excellent,>90,<=28,GA,Purchase,SecondHome,Townhouse,2022
LN0000265,189886,Poor,60-75,28-36,OH,Refinance,Investment,Townhouse,2018
LN0000266,124851,Excellent,<=60,28-36,NY,Purchase,Investment,SingleFamily,2019
LN0000267,157338,Good,60-75,28-36,AZ,Refinance,Investment,SingleFamily,2019
LN0000268,476525,Excellent,>90,28-36,IL,Refinance,PrimaryResidence,SingleFamily,2018
LN0000269,99299,Excellent,>90,36-43,FL,Refinance,PrimaryResidence,SingleFamily,2021
LN0000270,137868,Excellent,60-75,<=28,FL,CashOut,PrimaryResidence,SingleFamily,2018
LN0000271,320068,Excellent,>90,36-43,FL,Refinance,PrimaryResidence,SingleFamily,2019
LN0000272,221511,Excellent,>90,>43,WA,Refinance,PrimaryResidence,SingleFamily,2018
LN0000273,133837,Excellent,75-90,36-43,FL,Purchase,PrimaryResidence,MultiUnit,2021
LN0000274,322028,Good,>90,28-36,NY,Purchase,Investment,Condo,2021
LN0000275,329769,Fair,60-75,<=28,OH,Purchase,PrimaryResidence,Townhouse,2020
LN0000276,234613,Good,75-90,<=28,AZ,Refinance,PrimaryResidence,SingleFamily,2020
LN0000277,146356,Good,75-90,36-43,GA,Purchase,PrimaryResidence,MultiUnit,2020
LN0000278,158078,Good,75-90,28-36,WA,Refinance,PrimaryResidence,SingleFamily,2018
LN0000279,229197,Poor,<=60,<=28,GA,Purchase,PrimaryResidence,SingleFamily,2019
LN0000280,103159,Poor,75-90,>43,IL,Refinance,PrimaryResidence,SingleFamily,2022
LN0000281,386115,Excellent,>90,36-43,FL,Purchase,PrimaryResidence,SingleFamily,2018
LN0000282,465145,Excellent,60-75,36-43,OH,CashOut,SecondHome,SingleFamily,2021
LN0000283,176667,Excellent,>90,28-36,TX,Purchase,PrimaryResidence,Condo,2018
LN0000284,237530,Excellent,60-75,>43,NV,Refinance,PrimaryResidence,SingleFamily,2018
LN0000285,359655,Good,<=60,<=28,IL,Refinance,PrimaryResidence,Townhouse,2019
LN0000286,528490,Good,<=60,<=28,AZ,Purchase,PrimaryResidence,SingleFamily,2019
LN0000287,432998,Excellent,75-90,>43,CA,Refinance,PrimaryResidence,Condo,2019
LN0000288,83469,Good,75-90,>43,IL,CashOut,SecondHome,Townhouse,2022
LN0000289,169773,Good,60-75,28-36,IL,Refinance,PrimaryResidence,SingleFamily,2022
LN0000290,255338,Excellent,75-90,<=28,NY,CashOut,PrimaryResidence,MultiUnit,2021
LN0000291,155265,Fair,60-75,28-36,WA,Purchase,PrimaryResidence,Condo,2018
LN0000292,484747,Excellent,60-75,36-43,GA,CashOut,PrimaryResidence,SingleFamily,2022
LN0000293,448959,Poor,>90,36-43,NV,CashOut,PrimaryResidence,Condo,2022
LN0000294,132195,Excellent,75-90,28-36,AZ,Refinance,PrimaryResidence,Condo,2018
LN0000295,183285,Fair,75-90,<=28,FL,Refinance,SecondHome,SingleFamily,2019
LN0000296,136656,Poor,75-90,36-43,NV,Refinance,PrimaryResidence,SingleFamily,2021
LN0000297,180310,Poor,>90,36-43,IL,Refinance,PrimaryResidence,SingleFamily,2018
LN0000298,177599,Fair,60-75,28-36,IL,Refinance,PrimaryResidence,SingleFamily,2018
LN0000299,320337,Fair,60-75,28-36,CA,Purchase,PrimaryResidence,Townhouse,2021
LN0000300,127486,Fair,<=60,>43,GA,Refinance,PrimaryResidence,Townhouse,2019
LN0000301,53724,Fair,75-90,<=28,AZ,Purchase,PrimaryResidence,Condo,2020
